start	end	text
0	13320	Hello! It's that time of year where I say if you're hearing my voice, it means that
13320	17980	your clock is set appropriately, where appropriately it is 6pm Pacific GMT-8, that is. Either that
17980	21280	or you're listening time shifted, in either case, thank you! It's the calm before the
21280	24600	storm in the year of our misery, and it's about to become exhausting in the home stretch
24600	28180	of the holidays. Don't get whiplash keeping up with the news. Before you turn on Do Not
28180	31940	Disturb and go for a walk, join our hosts Rob Roberts, Jamie Summers, and Loki as we
31940	35140	discuss the things we have, the things we're getting, the things we're not yet sure about,
35140	37420	starting right now on the show where every gamer has a voice.
37420	45500	Hello, my friends out there on the internet. Welcome back to another week of the show where
45500	53060	every gamer has a voice. It is Orange Lounge Radio live once again tonight with episode
53060	61820	number 841 for this November 1st of 2020. My name is Rob Roberts, and joining me live
61820	65580	here on the feed tonight is Techmaster Loki. Hi, Loki!
65580	67920	Hello. How are you doing?
67920	68920	I'm doing fine.
68920	73220	It is good to see you. Sadly, we don't have Dark Sakura just yet. There is some type of
73220	77860	technical difficulty going on on her end with the computer reboot, so I expect her to jump
77860	82920	in here at any moment to join us for the show and we'll get things underway, that's
82920	88300	for sure. In the meantime, before we get into our kickoff topic for tonight, Loki, how's
88300	93700	the game progressing? This big mystery project you've been talking about for weeks and weeks.
93700	98700	I know nothing about it because you're very secretive. You're being a AAA game company
98700	102300	right now and I want to tell people about it. How is that coming along?
102300	106060	I thought about putting my own yellow text out, but I didn't.
106060	109260	Oh yeah, right. Oh yeah, we'll get into that later, that's for sure.
109260	118820	Yeah. No, it's going okay. So this week it's been, it was finalizing the random spawn generator,
118820	128540	which I did, and then hooking up audio, so I did that as well. And yeah, that's been
128540	129980	what I've been working on now.
129980	134140	Are you willing to say an estimated release date or are you afraid it's going to turn
134140	137180	into a situation similar to a cyberpunk?
137180	145700	Well, I can't say anything right now because I can't really go into more details about
145700	152540	that either because that would give stuff away. So I can't say anything because I can't
152540	160180	say any more. That's all I can say. I'm trying to get it. I'm hoping to have it ready this,
160180	167020	hopefully this month or even, you know, definitely this year. I can't, I can't really go into
167020	169660	more details. Sorry. Otherwise it would spoil things.
169660	172780	I'm going to get the details from your kitty, Stella. That's for sure. That's where I'm
172780	173780	going to get the details.
173780	176940	Yeah, she knows I'm on a call. So now it's, now it's time to start screaming at me.
176940	180500	That's okay. I'm expecting Smush to run in here any minute. We do tape live of course
180500	184800	at the voice geeks network, twitch.tv slash a vog network every Sunday night at six o'clock
184800	189180	Pacific nine o'clock Eastern right after the Bobby Black Wolf show. And I'm trying to read
189180	193300	through chat on what's going on. Okay. I'll tell you what's going on. So one of my pals
193300	198820	from, so it was like a year ago on this show, I talked about that, that survivor LARP that
198820	203740	I was playing online that I won. Right. So one of my pals that played that game with
203740	208580	me, Karen, just joined the chat. So shout out to Karen. Karen and I never got to interact
208580	212920	during the game cause we were on like opposite tribes and we even got swapped opposite each
212920	216320	other. So I never really got to interact with Karen, but I've adored her everything I've
216320	220880	learned about her after the game. So, um, what is going on? So I'm looking to chat and
220880	226600	Karen joins and everyone wants to turn it into a discussion about the, the, the term
226600	231380	Karen, uh, that is used to talk about the whole, you know, uh, Kate from John and Kate
231380	235660	plus eight, I want to speak to your manager and all of that stuff. Y'all, y'all, how old
235660	240200	are you? 12? Like I thought we stopped making fun of people over their names. Knock it off.
240200	246160	Shame. Finally. My name is something you don't want to do to a bank so you can let people
246160	251620	live over their names. Good heavens. Good heavens. Where's my shame bell? Ding, ding,
251620	257180	ding, ding, ding. All right. Y'all know better, but I know, no, I know, I know most of the
257180	263220	time y'all are cool and I also know that everybody's just real tense right now cause there's a certain
263220	268860	thing going on in America this Tuesday that has a lot of people on edge and pointed and
268860	274580	with a lot of opinions on everything. So I get it. I get it. I just hope y'all have made
274580	279320	your voting plan. I've been talking about it for weeks and weeks on this program. Yes,
279320	285580	we play video games, but it's important to use those voices in, you know, what the government
285580	289460	gives you the right to do, what the constitution gives you the right to do and vote because
289460	294340	you're damn right. Government can influence what goes on with video games, right? We've
294340	299480	talked about countless issues here on this program, such as remember in California when
299480	305840	they were going to say that GameStop could no longer sell a mature game, but that concept
305840	311940	of what is a mature game was very kind of nebulous as to what that was. That's definitely
311940	317240	a political thing. So yes, politics can impact video games. So I hope y'all have made your
317240	322720	voting plan. Get on that. Just so you know, you know, with the election on Tuesday, if
322720	327840	you're planning to vote by mail, it's, it's kind of too late unless you already did it
327840	331960	in a lot of places. So that's why I told you two weeks ago to get your voting plan
331960	338080	going. But it's not too late to go vote in person. Or at least you can take. Hi, Jamie.
338080	343480	We hear, Jamie, we hear you. Just a moment. Jamie, we hear you. I don't think she hears
343480	350320	us. All right. So, but make sure that you take your ballot in person, if nothing else.
350320	355120	Don't actually drop that in the mail. So, all right. Good. Everybody and everybody in
355120	359640	chat is sharing their plans. Love to see it. Love to see it. Okay, so I think Dark
359640	364520	Sakura joined us. Can you hear me now, Jamie? Nope, she can't. She's, she's having some
364520	368960	issues, I guess. Maybe now. Maybe it'll be better. That's the joy of doing live radio
368960	374480	is that sometimes it works and sometimes it doesn't. But I see the little webcam loading
374480	377560	in. So hopefully we'll have a Jamie here in a minute. Hi, Dark Sakura. Can you hear us
377560	385600	okay? Okay, something, something weird is going on. But that's all right. All right.
385600	389560	Looking at some comments in chat. Black and Pat says surrendered my mail to early vote
389560	395400	in person. Okay. The break man says I live near the early voting place. It's been busy
395400	400580	every day. I've never seen anything like it. DGRama S says my polling place is three blocks
400580	405100	from my house. I'll be heading over after I eat breakfast. Good. Bobby Blackwell says
405100	409060	I'm going Tuesday. That's fine. If you're willing to do the waiting on the day of that's
409060	416900	that's totally fine. And we have folks not from America voicing their support. Karen,
416900	421380	who I mentioned earlier, says I'm Canadian, but I support you all. And Act Deaf brings
421380	425520	up the fact that I'm Mexican and the same goes for my part. So we appreciate we appreciate
425520	429740	the love from other countries. And we hope you all participate in the similar processes
429740	434660	in your countries if they are afforded to you depending on where you live, whenever
434660	438820	those elections may be. Okay. So we're still waiting for Dark Soccer to join us. Clearly
438820	442660	she's having some technical issues. We're going to try our best to get through those.
442660	447220	For now, I'm going to jump into the kickoff topic. I apologize. The webcam looks a little
447220	451020	weird. I just have to keep switching between when there's one person on Discord and when
451020	454900	there's two. But we're going to try to get into the top of the show here. So and our
454900	460100	kickoff topic. So, Loki, do you want to start us off on a kickoff topic? Because, you know,
460100	465020	we're only like not even two weeks from brand new game console releases. Right. And we have
465020	470840	a week. Yeah. Like just over a week. We have Xbox Series X. We have PlayStation 5 both
470840	479000	coming out in the next couple of weeks. So we have that coming. And we still don't have
479000	483460	all the answers as to how it's necessarily going to work, which is a little bit scary,
483460	489100	I think. Yeah. So. Yeah. So. So. Wait, hold on just one sec. Did Dark Soccer get in OK?
489100	495540	Can you hear us? For some reason, she still can't hear us, even though we see her fine,
495540	499140	so we'll have to figure that out. All right. Well, anyway, why don't you tell us what's
499140	505060	going on, Loki? Yeah. So we're the question's been, you know, especially with these consoles
505060	509740	now supporting backwards compatibility to a certain extent is, well, how much backwards
509740	516900	compatibility are they actually supporting? So with Sony, we're not really sure. They
516900	522300	said most games are backwards compatible. But apparently on Ubisoft, they had a blog
522300	528780	post listing that there are certain compatibility issues or certain games that wouldn't be backwards
528780	534220	compatible on Xbox and PlayStation. It said basically on PlayStation five, all games will
534220	538580	be backwards compatible, except for the following ones. Assassin's Creed Syndicate, Assassin's
538580	543620	Creed Chronicles trilogy pack, Assassin's Creed Chronicles India, Assassin's Creed Chronicles
543620	549580	China, Assassin's Creed Chronicles Russia, Risk, Star Trek, Bridge Crew, Werewolves Within
549580	556780	and Space Junkies. However, they have later retracted that blog post and just to basically
556780	565860	put a generic, you know, we pulled the Ubisoft Connect article and form regarding backwards
565860	570740	compatibility for the time being, as there may be some inaccuracies involved with the
570740	577260	Ubisoft titles that were playable on PlayStation five. So they haven't yet listed which titles
577260	585360	are going to be having issues on there. But I guess we'll have to wait and see. And this
585360	591380	is crazy because, you know, when we saw that list of what games would and would not be
591380	595220	backwards compatible or I should just say would not because it was very short list from
595220	600100	Sony. You know, there were 10 games on it. But with all due respect to the developers,
600100	605460	they were not 10 major games, they were games that people could kind of give or take, I
605460	610180	think. They were not, you know, you had nothing major on that list. But now Ubisoft is coming
610180	614900	out with this list. And I would say Assassin's Creed and those games and many of the games
614900	620180	that Loki made. Those are pretty major games. Now we're having an issue. So it's, it's a
620180	625720	little weird that we're finding all of this out like what not even two weeks to go before
625720	631000	the release of the console. Now, there could be a weird miscommunication. It could be that
631000	636200	maybe Ubisoft doesn't have the most recent development kits or something. Maybe there was
636200	641160	a late addition to the emulator software that Sony's working with. So maybe Ubisoft's been
641160	645960	doing their own tests, and they're not concurrent with Sony. That's kind of what I think is really
645960	650600	happening. I think Ubisoft is playing with one version of the emulator, and Sony's on the other,
650600	654760	at least that's what I hope. Because if it turns out that Sony has been kind of like,
654760	658520	I don't want to say lying to us, but that's what it's sure going to feel like. That's what it's
658520	663000	going to come across like. With the backwards compatibility thing, that is going to leave a
663000	668280	really sour taste in people's mouths. I just want to jump in here because I see Jamie on camera. I
668280	673640	want to know if we have her on the show officially. Hi, Jamie, are you with us? Okay, we don't hear
673640	677480	you. You're muted on Discord. I can see the mute icon. Oh, she's trying to fix it. Okay.
677560	683320	Try now. Hooray! You're here! The headset I'm using now has a kind of weird setup for the mute.
684760	690200	Basically, you know how I was using my work headset before this? I found on one of those
690200	697320	resale sites someone had a better version of my work mic, and I offered him 10 bucks for it,
697320	703000	and I got it for 10 bucks, and it sounds a lot better. Yeah, you sound great. Yeah, well,
703720	710120	the headset sounds great. I don't. Well, okay, I know you've been dealing with a little bit of
710120	714520	sick. Let's finish the Ubisoft topic, and then I'll come to catch up with Dark Sakura, okay?
714520	718280	All right, so I'm just glad you're here, and you made it despite all those tech issues. All right,
719000	722600	so anyway, the Ubisoft thing. So, Loki, what's your takeaway from this? Do you think this is
